               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12837,            0.068692,            0.058069,          0.00049001,            0.030941,           0.0002875,          6.4779e-05,             0.12628,            0.058043,            0.056149,              0.0991,              0.0001,              0.0001
                   1,             0.12562,            0.070156,            0.057843,          0.00059848,            0.038693,          0.00047642,          8.9878e-05,             0.12411,            0.057507,            0.055847,            0.097299,          0.00029941,          0.00029941
                   2,             0.12436,            0.069624,            0.057588,          0.00075604,            0.049318,          0.00057591,          0.00011275,             0.12029,            0.058389,            0.055234,            0.095498,          0.00049802,          0.00049802
                   3,              0.1215,            0.075652,            0.056112,          0.00096563,            0.063149,          0.00071425,          0.00017478,             0.11562,            0.060296,             0.05441,            0.093696,          0.00069584,          0.00069584
                   4,             0.11616,            0.074288,            0.055057,           0.0016429,             0.10138,           0.0014541,           0.0003044,             0.11044,            0.062883,            0.053522,            0.091893,          0.00089287,          0.00089287
                   5,             0.11109,            0.088545,            0.053838,           0.0028786,             0.16348,           0.0037918,          0.00075884,             0.10598,            0.064683,            0.052744,            0.090089,           0.0010891,           0.0010891
                   6,             0.10664,            0.083638,             0.05299,           0.0064845,             0.28951,             0.01456,           0.0032391,             0.10107,            0.066149,            0.051865,            0.088285,           0.0012846,           0.0012846
                   7,             0.10368,            0.076725,            0.051704,            0.043606,             0.27884,            0.038899,           0.0078304,            0.095767,            0.066984,            0.050729,            0.086479,           0.0014792,           0.0014792
                   8,            0.099132,            0.084213,             0.05059,             0.20963,             0.13074,            0.055188,            0.012458,            0.091915,            0.064015,            0.049741,            0.084673,           0.0016731,           0.0016731
                   9,            0.094427,            0.090273,            0.048439,             0.10288,             0.21231,            0.076768,            0.018512,            0.087787,            0.059891,            0.049063,            0.082866,           0.0018661,           0.0018661
                  10,            0.090743,            0.084318,            0.048062,            0.080233,             0.27954,            0.093063,            0.021486,            0.087049,            0.061142,            0.048743,            0.081058,           0.0020584,           0.0020584
                  11,            0.087606,            0.077437,            0.046308,            0.056347,             0.26537,            0.053454,            0.012173,            0.087525,            0.065207,            0.048358,             0.07925,           0.0022499,           0.0022499
                  12,            0.084992,            0.072092,            0.046052,            0.069901,             0.36751,             0.07221,            0.016701,            0.081861,            0.073302,            0.047754,            0.077441,           0.0024406,           0.0024406
                  13,            0.082604,            0.070536,            0.044475,             0.10146,             0.43882,             0.10095,              0.0229,            0.077619,            0.076282,            0.046747,            0.075631,           0.0026305,           0.0026305
                  14,             0.07957,            0.071438,            0.043014,             0.13335,             0.43828,              0.1185,            0.028126,            0.077537,            0.081825,            0.046115,             0.07382,           0.0028196,           0.0028196
                  15,            0.077134,            0.074771,            0.042098,             0.16021,             0.53757,             0.15234,            0.042288,            0.072626,            0.092638,            0.045374,            0.072008,           0.0030079,           0.0030079
                  16,            0.077381,            0.072515,            0.041193,             0.91595,             0.10271,             0.13542,            0.038317,             0.07111,             0.09985,            0.044229,            0.070195,           0.0031955,           0.0031955
                  17,            0.073043,            0.072406,            0.041453,            0.087799,             0.64989,             0.17299,            0.052814,            0.072274,            0.095832,            0.042865,            0.068382,           0.0033822,           0.0033822
                  18,             0.07269,            0.061977,            0.039968,             0.11232,             0.64727,             0.20399,            0.059031,             0.07192,            0.085807,            0.041354,            0.066568,           0.0035681,           0.0035681
                  19,            0.071142,             0.06681,            0.038746,              0.1526,             0.60361,             0.25476,             0.08914,            0.069808,            0.074923,            0.039761,            0.064753,           0.0037533,           0.0037533
                  20,            0.070565,            0.066253,            0.037813,             0.14746,             0.50154,             0.27871,            0.092961,            0.065918,            0.070322,            0.038718,            0.062938,           0.0039376,           0.0039376
                  21,            0.069187,            0.060665,            0.037606,             0.12858,             0.41823,             0.22185,             0.09323,            0.074212,            0.062573,            0.038077,            0.061121,           0.0041212,           0.0041212
                  22,            0.071266,            0.061403,            0.036646,             0.13826,             0.39602,             0.25669,            0.090209,            0.072388,            0.058174,             0.03717,            0.059304,            0.004304,            0.004304
                  23,            0.069226,             0.06578,            0.035725,              0.2351,             0.46059,             0.35905,             0.15595,            0.071681,            0.055611,            0.036676,            0.057486,            0.004486,            0.004486
                  24,            0.067399,            0.062087,            0.034586,             0.19664,             0.54231,             0.33441,             0.14377,            0.067266,            0.054061,            0.035706,            0.055667,           0.0046672,           0.0046672
                  25,            0.065622,            0.055223,            0.035183,             0.17109,             0.47804,             0.31019,             0.12101,            0.069182,            0.050819,            0.035211,            0.053848,           0.0048475,           0.0048475
                  26,            0.073672,             0.05396,            0.033903,             0.15317,             0.43256,             0.27205,            0.089155,            0.068948,            0.049949,            0.034607,            0.052027,           0.0050272,           0.0050272
                  27,            0.065779,            0.057529,            0.032907,             0.16188,             0.51776,             0.28803,             0.10693,            0.069186,            0.047088,            0.034396,            0.050206,            0.005206,            0.005206
                  28,            0.071081,            0.058828,            0.032715,             0.13777,             0.43283,             0.26106,            0.079235,            0.072843,            0.047183,             0.03371,            0.048384,            0.005384,            0.005384
                  29,            0.075083,            0.057962,            0.033315,             0.15992,             0.52434,             0.29384,             0.10995,            0.071568,            0.046456,             0.03338,            0.046561,           0.0055612,           0.0055612
                  30,             0.07231,            0.057262,            0.031767,             0.23911,             0.53198,             0.30673,            0.093176,            0.068189,            0.044239,            0.032794,            0.044738,           0.0057377,           0.0057377
                  31,            0.071932,            0.058733,            0.031386,             0.20629,             0.50815,             0.34629,             0.12359,            0.071639,            0.044084,            0.032401,            0.042913,           0.0059133,           0.0059133
                  32,            0.073207,            0.056449,            0.032298,             0.18976,             0.58023,             0.33393,             0.13418,            0.065862,            0.045443,            0.031796,            0.041088,           0.0060882,           0.0060882
                  33,             0.07155,            0.056166,            0.031682,             0.27527,             0.64835,             0.40937,              0.1419,            0.073371,            0.042486,             0.03143,            0.039262,           0.0062622,           0.0062622
                  34,            0.072608,             0.05375,            0.032222,             0.29544,             0.59676,             0.41853,             0.16798,            0.063832,            0.042903,            0.031343,            0.037435,           0.0064355,           0.0064355
